Team,Winning_Probability_NB,Winning_Probability_LR
AIN,0.060582430289532474,1.0996859188463515e-05
Afghanistan,0.06234368728430908,1.248455444282973
Afghanistan,0.06234368728430908,1.248455444282973
Albania,0.06104146158213686,0.02599338075501638
Albania,0.06160009010040666,0.1809738140795735
Albania,0.06160009010040666,0.1809738140795735
Albania,0.06160009010040666,0.1809738140795735
Albania,0.06160009010040666,0.1809738140795735
Albania,0.06160009010040666,0.1809738140795735
Albania,0.06160009010040666,0.1809738140795735
Algeria,0.062095893388879726,3.2433102333676496e-08
Algeria,0.06160009010040666,0.1809738140795735
Algeria,0.06104146158213686,0.02599338075501638
Algeria,0.06066290942722585,0.0037284879019391344
Algeria,0.062095893388879726,3.2433102333676496e-08
Algeria,0.060434386102052075,7.668229788218032e-05
Algeria,0.06234368728430908,1.248455444282973
Algeria,0.06160009010040666,0.1809738140795735
Algeria,0.06066290942722585,0.0037284879019391344
Algeria,0.06160009010040666,0.1809738140795735
American Samoa,0.06160009010040666,0.1809738140795735
American Samoa,0.06160009010040666,0.1809738140795735
American Samoa,0.06160009010040666,0.1809738140795735
American Samoa,0.06234368728430908,1.248455444282973
Andorra,0.06160009010040666,0.1809738140795735
Andorra,0.06160009010040666,0.1809738140795735
Andorra,0.06160009010040666,0.1809738140795735
Andorra,0.06234368728430908,1.248455444282973
Andorra,0.06160009010040666,0.1809738140795735
Andorra,0.06234368728430908,1.248455444282973
Angola,0.06297154735398734,4.651165067853837e-09
Angola,0.06855142000324681,1.9672284368379645e-12
Angola,0.060434386102052075,7.668229788218032e-05
Angola,0.06160009010040666,0.1809738140795735
Angola,0.06160009010040666,0.1809738140795735
Angola,0.06234368728430908,1.248455444282973
Angola,0.06160009010040666,0.1809738140795735
Angola,0.06160009010040666,0.1809738140795735
Angola,0.06160009010040666,0.1809738140795735
Angola,0.06160009010040666,0.1809738140795735
Angola,0.06160009010040666,0.1809738140795735
Antigua and Barbuda,0.06160009010040666,0.1809738140795735
Antigua and Barbuda,0.06234368728430908,1.248455444282973
Antigua and Barbuda,0.06234368728430908,1.248455444282973
Antigua and Barbuda,0.06160009010040666,0.1809738140795735
Antigua and Barbuda,0.06160009010040666,0.1809738140795735
Antigua and Barbuda,0.06160009010040666,0.1809738140795735
Argentina,0.060434386102052075,7.668229788218032e-05
Argentina,0.06109827554285634,8.176236799996285e-05
Argentina,0.060582430289532474,1.0996859188463515e-05
Argentina,0.06253993099603407,39.59354258404274
Argentina,0.13276076189126346,3.0611205772600282e-24
Argentina,0.06532377543354,9.565513152109337e-11
Argentina,0.06066290942722585,0.0037284879019391344
Argentina,0.06682156021397201,1.3717707346998739e-11
Argentina,0.08134491785926884,1.1932215677778681e-16
Argentina,0.06682156021397201,1.3717707346998739e-11
Argentina,0.08134491785926884,1.1932215677778681e-16
Argentina,0.06404430416218325,6.670140975324718e-10
Argentina,0.060434386102052075,7.668229788218032e-05
Argentina,0.060434386102052075,7.668229788218032e-05
Argentina,0.08888615067434136,2.4539607674483942e-18
Argentina,0.0849093272101987,1.711174717613644e-17
Argentina,0.07554522447099404,3.008059471546225e-13
Argentina,0.07052948909216716,2.821162184619908e-13
Argentina,0.060582430289532474,1.0996859188463515e-05
Argentina,0.062095893388879726,3.2433102333676496e-08
Argentina,0.060582430289532474,1.0996859188463515e-05
Argentina,0.06046113513180241,0.0005347119243011379
Armenia,0.06234368728430908,1.248455444282973
Armenia,0.06160009010040666,0.1809738140795735
Armenia,0.06234368728430908,1.248455444282973
Armenia,0.06234368728430908,1.248455444282973
Armenia,0.06160009010040666,0.1809738140795735
Armenia,0.06234368728430908,1.248455444282973
Armenia,0.06104146158213686,0.02599338075501638
Armenia,0.06160009010040666,0.1809738140795735
Aruba,0.06160009010040666,0.1809738140795735
Aruba,0.06160009010040666,0.1809738140795735
Aruba,0.06234368728430908,1.248455444282973
Aruba,0.06160009010040666,0.1809738140795735
Aruba,0.06160009010040666,0.1809738140795735
Aruba,0.06104146158213686,0.02599338075501638
Aruba,0.06104146158213686,0.02599338075501638
Australasia,0.07069115044405884,2.571176914674832e-07
Australasia,1.135265794446458,0.3219047768381071
Australia,0.06666170991725852,82.9738926810047
Australia,0.09500586900781739,99.63017642536282
Australia,0.061233608695888564,1.3300634640263618
Australia,0.21366153215611974,0.0054786722922106615
Australia,0.5361687018862785,50.66480612317489
Australia,0.06591122295195573,0.0042388422131526765
Australia,0.06645555042462377,0.0006079057905483492
Australia,0.060582430289532474,1.0996859188463515e-05
Australia,0.10464745239267678,9.911251100517251e-05
Australia,0.07554522447099404,3.008059471546225e-13
Australia,99.99999070725235,99.99999916050601
Australia,100.0,100.0
Australia,99.99815093840839,6.172507758909152e-17
Australia,99.99603719590532,1.2115569100389394e-29
Australia,97.51458361643151,2.8950887934217773e-49
Australia,14.318657450030074,2.0274466240694916e-55
Australia,60.699418467363785,5.392150525879103e-29
Australia,99.99961031935638,1.5835106424770554e-24
Australia,3.3171077294954223,1.032921352199699e-42
Australia,85.71296306444862,6.4196371684130554e-46
Australia,99.99999997351594,1.0611243693276735e-22
Australia,100.0,99.8253293741835
Australia,100.0,3.686578062602952e-19
Australia,100.0,99.99999999999984
Australia,100.0,5.63709117413522e-20
Australia,100.0,6.480604198192178e-15
Australia,100.0,99.99999999994107
Australia,100.0,24.988215217391335
Austria,0.06605720977425925,41.137509319681804
Austria,0.09617483541317287,1.607768147323905
Austria,0.061233608695888564,1.3300634640263618
Austria,0.06645555042462377,0.0006079057905483492
Austria,0.061233608695888564,1.3300634640263618
